type,0,1,2,3,4,5,6,7
always_4,4,4,4,4,4,4,4,4
fair,2,2,2,2,2,4,2,3
always_4,4,2,4,4,4,4,4,4
only_2_or_3,3,3,2,3,2,2,2,3
only_2_or_3,2,3,2,2,2,2,3,3
bias_4,4,4,4,4,4,4,1,4
fair,4,2,1,1,2,2,1,1
bias_4,4,4,3,4,4,4,3,4
fair,4,4,3,3,3,2,1,4
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,1,2,1,4,2,4,1,3
only_2_or_3,2,2,2,2,2,3,3,3
only_2_or_3,2,2,3,2,2,3,2,3
fair,4,1,1,2,2,2,3,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,4,2,4,4,2,1,3,1
only_2_or_3,2,3,3,2,2,3,3,3
only_2_or_3,2,3,2,2,3,3,3,2
only_2_or_3,2,2,3,2,3,2,3,2
only_2_or_3,3,2,3,3,2,3,3,3
always_4,4,4,4,4,4,4,4,4
fair,1,2,4,1,3,1,4,3
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
bias_4,4,3,4,2,4,4,4,4
fair,3,2,4,2,3,1,3,2
bias_4,2,4,4,3,4,4,4,4
bias_4,4,4,3,4,4,4,4,4
only_2_or_3,2,3,3,3,2,2,3,2
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,4,4,4,4,3,1,4,2
bias_4,4,4,4,4,4,3,2,2
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,4,4,2,3,3,3,2,4
only_2_or_3,3,2,2,2,3,2,2,2
always_4,4,4,4,4,4,4,4,4
fair,4,3,1,4,3,4,2,1
only_2_or_3,2,3,3,2,3,2,2,3
only_2_or_3,3,3,3,2,3,2,3,2
only_2_or_3,3,2,3,2,2,3,2,3
only_2_or_3,3,3,2,2,2,3,2,2
bias_4,4,4,4,4,4,4,4,4
fair,2,2,4,1,1,3,1,3
fair,3,4,4,3,1,3,2,2
only_2_or_3,2,2,2,3,3,3,2,3
only_2_or_3,2,3,2,2,3,2,3,3
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,3,3,3,2,3,2
fair,4,1,3,1,2,2,3,3
always_4,4,4,4,4,4,4,4,4
bias_4,4,1,3,4,4,4,4,4
only_2_or_3,2,2,3,2,2,3,2,2
fair,4,1,3,1,1,3,1,3
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,3,2,2,2,3,2
only_2_or_3,3,3,3,2,2,3,3,2
fair,4,3,3,1,1,2,2,3
only_2_or_3,3,3,3,3,3,2,3,2
fair,3,3,4,4,2,3,4,2
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,3,3,2,2,3,2
only_2_or_3,3,3,2,3,3,3,2,3
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,1,4,1,1,4
fair,4,1,1,3,2,1,1,3
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,2,2,3,3,2,3
bias_4,4,4,4,2,1,4,4,2
always_4,4,4,4,4,4,4,4,4
only_2_or_3,2,2,2,3,2,3,2,2
fair,1,2,3,1,1,3,1,2
only_2_or_3,2,3,2,3,3,3,2,3
fair,1,3,2,2,1,4,2,2
fair,1,1,1,4,1,1,3,4
bias_4,4,4,4,4,4,4,4,1
bias_4,4,4,4,4,4,3,4,4
bias_4,4,4,4,4,4,3,4,4
fair,4,3,3,3,3,3,4,2
fair,2,4,1,2,1,3,2,2
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,3,2,2,2,2,2
fair,4,1,1,2,1,4,1,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,3,2,3,3,3,2,2
always_4,4,4,4,4,4,4,4,4
fair,2,4,1,2,2,4,2,3
fair,4,1,1,1,4,3,3,4
only_2_or_3,3,3,2,2,2,3,3,3
only_2_or_3,2,2,2,2,3,3,2,2
only_2_or_3,3,3,3,2,2,2,3,2
always_4,4,4,4,4,4,4,4,4
fair,4,4,4,4,3,3,4,4
fair,1,4,1,1,4,4,1,2
fair,2,4,4,3,2,3,4,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,2,3,2,2,2,3,3,3
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,3,3,2,3,3,2
only_2_or_3,3,2,3,2,2,3,3,2
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
fair,4,1,2,2,2,3,1,4
fair,4,2,4,4,1,4,3,2
bias_4,4,2,4,1,4,4,4,4
only_2_or_3,2,3,3,3,2,2,2,3
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,3,4,4,4
only_2_or_3,2,3,2,2,2,2,2,2
bias_4,4,4,4,4,2,4,4,4
fair,2,1,1,3,4,1,2,2
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,1
only_2_or_3,3,2,3,2,3,2,2,3
only_2_or_3,3,3,2,2,2,3,2,2
fair,1,4,1,1,4,1,2,2
always_4,4,4,4,4,2,4,4,1
fair,4,3,2,3,3,1,1,4
only_2_or_3,2,2,3,3,2,2,2,3
bias_4,4,4,4,4,4,1,4,1
fair,3,4,3,2,3,2,3,4
fair,4,1,4,1,3,1,3,3
only_2_or_3,3,2,2,2,2,2,3,2
bias_4,4,4,4,4,4,4,4,1
only_2_or_3,2,3,3,2,3,2,3,2
only_2_or_3,2,3,2,3,3,2,2,3
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,3,3,2,2,3,3
bias_4,4,4,4,1,4,4,4,4
bias_4,4,4,4,4,3,4,4,4
only_2_or_3,3,2,2,2,2,3,3,2
always_4,4,4,4,4,4,4,4,4
fair,4,2,3,2,2,3,2,2
only_2_or_3,3,2,2,3,2,2,3,2
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,3
bias_4,4,4,4,4,4,4,4,4
fair,3,4,2,3,3,2,2,1
bias_4,2,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,2,4,4
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,1,4,4,4,4,4
bias_4,1,4,2,4,4,4,2,4
bias_4,4,4,4,3,4,4,2,4
only_2_or_3,3,2,2,2,3,2,3,3
always_4,4,4,4,4,4,4,4,4
fair,4,3,4,1,1,3,1,2
bias_4,4,3,4,4,4,4,4,4
fair,1,2,4,3,3,1,2,2
always_4,4,4,4,4,4,4,4,4
only_2_or_3,2,2,2,2,2,2,2,2
always_4,4,4,4,4,4,4,4,4
fair,1,4,3,4,3,4,4,4
fair,1,4,1,1,2,3,4,4
bias_4,4,4,1,4,4,4,4,4
only_2_or_3,2,3,2,3,3,2,3,2
only_2_or_3,3,3,2,2,2,2,3,3
bias_4,4,4,1,4,4,4,4,4
only_2_or_3,2,3,2,3,2,2,3,2
fair,2,2,3,4,3,1,4,1
only_2_or_3,3,3,3,2,2,2,2,2
only_2_or_3,2,3,2,3,2,3,3,3
fair,2,4,1,2,1,4,3,4
fair,4,4,2,1,3,4,1,4
bias_4,4,4,4,4,4,4,2,4
only_2_or_3,3,3,2,3,2,2,3,3
only_2_or_3,3,2,2,2,2,3,3,3
bias_4,4,4,2,4,4,2,2,4
bias_4,4,4,4,4,4,4,3,4
bias_4,3,4,4,4,4,4,1,4
only_2_or_3,3,3,2,2,3,2,2,3
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,3,4,2,4,3,3,3,2
only_2_or_3,2,3,2,2,2,2,2,2
bias_4,4,4,4,4,4,4,4,3
bias_4,4,4,4,4,4,3,4,2
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,2,3,3,2,3,2,3,2
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,3,2,3,2,2,3
only_2_or_3,3,2,3,3,2,3,2,2
bias_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,3,2,2,2,2,2,3
only_2_or_3,2,3,2,2,3,2,2,3
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,3,2,2,2,3,3
fair,1,2,1,4,4,2,1,2
fair,4,3,1,3,3,4,4,2
fair,3,1,2,3,1,2,4,1
only_2_or_3,3,2,3,2,3,2,2,3
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,2,2,3,3,3,2
always_4,4,4,4,4,4,4,4,4
fair,4,4,3,2,4,3,4,2
only_2_or_3,2,2,3,3,2,2,2,2
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,3,2,3,3,3,2,3
only_2_or_3,2,2,3,2,3,3,2,2
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,3,3,2,3,3,3,2
fair,3,4,1,4,1,3,3,1
only_2_or_3,2,2,3,2,3,2,2,3
bias_4,4,4,1,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,3,4,4,4
fair,2,4,1,2,1,1,2,3
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,4,2,1,3,3,2,4,2
bias_4,4,4,3,4,4,4,4,4
only_2_or_3,3,3,2,2,3,3,2,2
always_4,4,4,4,4,4,4,1,4
fair,4,2,2,3,1,1,2,1
always_4,4,4,4,4,4,4,4,4
bias_4,4,3,4,2,4,4,4,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,2,2,2,2,3,2,3,3
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,3,2,3,2,2,2
bias_4,4,4,4,4,4,4,4,1
fair,4,2,4,4,3,1,1,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,3,3,3,3,2,3
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,2,2,2,2,3,2,2,3
fair,1,3,4,2,4,1,3,3
fair,1,1,4,3,3,2,4,1
bias_4,4,4,4,4,4,4,4,1
bias_4,4,4,1,4,4,3,4,4
only_2_or_3,2,3,3,3,3,2,3,2
only_2_or_3,3,3,3,2,2,3,2,2
only_2_or_3,2,2,3,2,2,2,3,2
only_2_or_3,3,3,3,3,3,2,3,3
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,2,4,2,4
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,2,2,2,3,3,3,2,3
only_2_or_3,3,2,2,2,2,2,3,3
always_4,4,4,4,4,4,4,4,4
only_2_or_3,2,3,3,3,2,2,2,3
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,3,3,2,3,4,3,3,1
fair,2,1,3,3,3,2,2,2
fair,2,3,3,4,2,1,2,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,2,2,2,2,3,2,2,2
only_2_or_3,2,3,2,3,3,3,2,3
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,2,3,2,2,3,3,3,3
bias_4,4,4,4,4,4,4,4,4
fair,1,2,2,1,1,1,3,3
only_2_or_3,3,2,2,3,2,3,2,3
fair,4,2,2,4,3,1,3,1
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
bias_4,2,1,4,4,4,3,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,3,2,3,3,2,3
bias_4,4,4,4,4,4,4,4,4
fair,1,2,3,2,2,4,3,3
bias_4,4,4,4,4,4,1,1,4
bias_4,4,4,4,4,4,4,4,4
fair,4,4,4,1,2,2,2,2
only_2_or_3,2,3,2,2,2,3,2,2
only_2_or_3,2,3,3,3,2,3,2,2
fair,2,1,1,1,1,3,2,1
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,4,3,1,4,2,3,4,3
only_2_or_3,2,3,2,2,2,3,3,3
always_4,4,4,4,4,4,4,4,4
fair,3,4,4,3,3,1,4,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,3,3,2,2,3,2
fair,4,4,4,4,2,2,3,1
bias_4,4,4,4,4,4,1,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,3,3,2,1,4,4,2,4
only_2_or_3,2,3,3,2,3,2,3,3
fair,2,2,1,3,2,2,2,4
bias_4,1,4,4,4,4,3,4,4
bias_4,4,4,2,4,4,2,4,4
fair,2,1,4,3,1,1,4,4
fair,4,2,3,1,4,4,3,2
bias_4,4,4,4,4,4,4,4,4
fair,2,3,2,1,3,1,1,2
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,3,3,3,2,3,3,2
always_4,4,4,4,4,4,4,4,4
fair,1,1,4,1,4,1,2,2
bias_4,4,4,4,4,4,1,3,3
always_4,4,4,4,4,4,4,4,4
fair,4,1,4,3,1,2,1,1
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,2,3,3,2,2,3
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,3,3,2,3,3,3,3
only_2_or_3,3,3,3,2,3,3,2,2
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,2,3,3,3,2,3,3,2
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,2,4,4,4,4,1,4,1
only_2_or_3,2,3,3,3,2,2,2,3
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,2,3,2,2,2,3,3,3
only_2_or_3,3,2,3,2,3,2,3,2
only_2_or_3,3,3,3,3,3,3,3,2
only_2_or_3,2,2,2,3,2,3,2,2
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,3,4,4,4,4
fair,4,2,1,1,2,1,2,2
fair,4,3,2,4,2,1,2,3
fair,2,4,1,4,3,1,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,3,2,2,2,2,2,2
only_2_or_3,2,2,2,3,2,3,3,2
fair,4,1,3,3,3,2,3,1
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,2,2,3,2,3,2,2,3
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,3,2,2,3,3,3,3
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,2,3,3,2,2,3,2,3
only_2_or_3,2,2,3,3,3,3,2,3
fair,3,2,1,2,3,2,4,3
bias_4,4,4,4,4,4,2,4,2
fair,4,3,1,1,1,3,1,2
always_4,4,4,4,4,4,4,4,4
only_2_or_3,2,3,3,3,3,2,3,3
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,3,4,4,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,3,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,2,1
always_4,4,4,4,4,4,4,4,4
only_2_or_3,2,2,3,2,3,2,2,2
fair,3,4,3,1,2,3,4,3
bias_4,4,4,4,4,2,4,4,4
fair,3,1,1,1,4,3,3,1
bias_4,4,4,4,4,3,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,4,3,3,4,3,2,3,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,2,3,2,3,3,3,2,3
only_2_or_3,2,3,2,3,2,3,3,3
bias_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,2,4,4,3
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,3,3,1,4
bias_4,4,3,4,4,4,4,4,4
fair,3,2,2,2,4,1,1,2
only_2_or_3,2,2,2,2,2,2,3,2
always_4,4,4,4,4,4,4,4,4
fair,3,4,3,3,3,4,1,3
fair,1,3,3,3,1,3,1,4
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,2,3,2,3,3,3,3,2
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
fair,1,4,3,4,4,2,4,1
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,3,2,2,3,2,3,2
always_4,4,4,4,4,4,4,4,4
fair,2,3,2,4,2,4,2,4
fair,2,2,1,2,4,3,1,3
always_4,4,4,4,4,4,4,4,4
fair,1,3,1,4,4,2,3,4
only_2_or_3,2,2,2,3,2,2,3,3
only_2_or_3,2,3,3,3,3,3,3,2
fair,2,4,3,3,1,4,2,4
always_4,4,4,4,4,4,4,4,4
fair,4,1,1,1,2,3,3,3
only_2_or_3,2,2,3,2,3,2,3,3
fair,2,4,4,2,1,4,3,3
fair,2,4,1,4,4,3,3,4
bias_4,2,2,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
fair,1,1,2,3,1,4,3,4
only_2_or_3,3,2,2,2,2,3,3,2
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,3,2,2,2,3,2,3
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,3,3,2,3,3,2,2
only_2_or_3,2,3,3,2,2,2,3,3
bias_4,4,1,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,2,3,2,3,3,3,2,2
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,2,1,4,2,4,3,3,1
always_4,4,4,4,4,4,4,4,4
bias_4,2,4,4,4,4,1,4,4
fair,3,1,4,3,3,1,2,4
only_2_or_3,2,3,3,3,3,3,3,3
fair,3,4,4,3,1,4,3,3
only_2_or_3,3,2,3,3,2,2,3,2
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,4,3,3,4,3,2,1,1
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,1,2,3,1,1,4,2,3
only_2_or_3,3,2,3,2,3,3,3,2
fair,2,4,4,4,1,4,4,3
fair,2,2,3,1,2,1,4,3
fair,1,3,1,3,1,2,1,1
always_4,4,4,4,4,4,4,4,4
fair,3,1,4,4,3,3,2,2
always_4,4,4,4,4,4,4,4,4
fair,3,1,3,2,2,1,3,4
fair,1,2,1,2,2,3,2,3
bias_4,4,3,4,4,1,4,2,4
bias_4,4,4,4,2,4,4,4,4
fair,1,2,4,1,4,1,4,1
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,2,2,3,3,2,3,2,3
only_2_or_3,3,3,2,2,3,2,3,2
fair,3,1,4,3,2,3,1,2
fair,4,3,4,3,1,2,2,2
bias_4,4,4,4,4,4,2,4,4
only_2_or_3,3,3,2,2,2,2,3,2
fair,4,4,1,1,3,3,4,1
always_4,4,4,4,4,4,4,4,4
fair,4,4,3,1,2,3,4,1
fair,4,4,3,2,3,4,2,2
bias_4,4,4,4,4,4,4,4,1
fair,3,3,3,1,3,4,1,3
bias_4,4,4,4,4,4,4,2,4
only_2_or_3,2,3,3,2,3,2,2,3
fair,2,1,3,3,2,2,3,2
bias_4,4,4,4,4,4,4,4,2
bias_4,4,4,4,4,4,4,4,2
bias_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,1,3,4
bias_4,4,4,3,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,2,2,3,3,2,2
bias_4,2,4,3,4,4,4,1,4
bias_4,4,3,4,4,4,4,4,4
bias_4,2,4,2,4,4,4,4,4
only_2_or_3,3,2,2,2,3,2,2,3
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,2,2,2,3,3,2,3,2
always_4,4,4,4,4,4,4,4,4
fair,3,4,2,4,3,4,1,2
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,3,3,3,2,1,2,3,4
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,3,2,2,2,3,2,3
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,2,4,4,4,4,3
fair,4,4,2,4,4,3,2,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,3,2,3,2,3,2,3
fair,1,2,2,4,3,4,4,2
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,2,3,2,3,2,2
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,2,4,4,4
only_2_or_3,3,2,3,3,2,2,2,3
only_2_or_3,2,2,3,2,3,2,2,2
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
fair,2,1,4,3,4,3,3,4
fair,3,2,1,3,3,3,3,2
bias_4,4,4,4,4,4,4,4,4
fair,3,3,3,4,4,1,4,2
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,3,1,4,4,1,1,4,3
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,3,4,4,4
only_2_or_3,2,2,3,3,3,3,2,3
bias_4,4,3,4,4,4,4,2,4
only_2_or_3,3,3,3,3,3,3,3,2
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,2,2,2,2,2,3
fair,3,3,3,2,1,2,1,3
fair,2,2,1,4,2,3,1,2
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,2,1,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,3,3,3,3,3,2
bias_4,4,4,4,4,4,4,4,4
bias_4,4,2,4,4,4,4,4,1
always_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,3,3,3,2,2,3
fair,4,2,3,2,3,3,2,1
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,2,4,1,2,4,1,4,2
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,2,3,3,3,2,2,3,2
always_4,4,4,4,4,4,4,4,4
fair,2,4,1,1,4,2,4,4
bias_4,4,4,4,4,4,4,1,4
always_4,4,4,4,4,4,4,4,4
only_2_or_3,2,2,2,2,3,2,3,2
fair,1,2,4,3,1,1,4,3
bias_4,3,3,2,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,3,3,3,3,2,3,2,3
bias_4,4,4,4,4,1,4,4,4
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,3,2,3,3,2,3,2,3
fair,2,2,4,3,4,2,1,2
always_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,1,4,1,2,4,1,1,1
only_2_or_3,3,2,2,3,2,2,2,2
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,2,3,2,2,3,3,2,2
only_2_or_3,2,3,2,3,2,2,2,3
bias_4,4,4,4,4,4,4,4,4
always_4,4,4,4,4,4,4,4,4
fair,2,1,1,4,1,3,4,1
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,4,4
fair,1,3,3,2,3,4,2,4
always_4,4,4,4,4,4,4,4,4
bias_4,4,4,4,4,2,1,4,4
fair,2,4,3,1,3,2,2,2
only_2_or_3,2,2,3,3,3,3,3,3
fair,3,4,2,2,4,2,4,4
fair,1,4,4,2,1,1,3,3
fair,2,2,2,2,4,4,3,4
bias_4,4,4,4,4,4,4,4,4
only_2_or_3,2,2,3,2,2,2,3,2
fair,4,2,4,2,4,4,3,1
bias_4,4,4,4,4,3,4,4,4
always_4,3,4,4,4,4,4,4,4
bias_4,4,4,4,4,4,4,3,4
only_2_or_3,3,2,2,2,3,2,2,3
always_4,4,4,4,4,4,4,4,4
